game_link,name,price,developer,genres,features,publisher,date release,initial release on platform ,recommended_os,cpu,memory,gpu,available achievements,available xp,Critics Recommend,Top Critic Average,OpenCritic Rating
Far Cry 2: Standard Edition₹499,Far Cry 2: Standard Edition,₹499,Ubisoft Montreal,Action,Single Player,Ubisoft,08/18/20,Initial Release10/22/08,Microsoft Windows XP or Windows Vista (64 is supported),"Intel Core 2 Duo Family, AMD 64 X2 5200+, AMD Phenom or better","512 MB, NVidia 8600 GTS or better, ATI X1900 or better",3.5 GB (Multiple saves and user created maps will increase the amount of needed hard disk space.),,,null,null,null
Torchlight₹446,Torchlight,₹446,Runic Games,ActionDungeon CrawlerRPG,Single Player,Perfect World Entertainment,02/26/20,WindowsWindows,Windows XP or later,x86-compatible 800MHz processor,512MB,"DirectX-compatible 3D graphics with at least 64MB of addressable memory (such as an ATI Radeon 7200, NVIDIA GeForce 2, or Intel GMA 950)",,,null,null,null
Shadowhand₹349,Shadowhand,₹349,Grey Alien Games,Card Game,null,Positech Games,02/05/21,Initial Release12/07/17,Windows 10,2 GHZ,512MB Video,4 GB,,,null,null,null
Scarlet Hood and the Wicked Wood₹459,Scarlet Hood and the Wicked Wood,₹459,Devespresso Games,Adventure,Controller SupportSingle Player,Headup GmbH,04/08/21,WindowsWindowsMac OSMac OS,Windows10 (64Bit),i5 or above,6 GB,6 GB,,,null,null,null
PaladinsFree,Paladins,Free,Evil Mojo Games,Shooter,MultiplayerCompetitive,Hi-Rez Studios,03/24/20,WindowsWindows,Windows 8/10 64-bit (latest Service Pack),"Intel Core i5-750, 2.67 GHz / AMD Phenom II X4 965, 3.4 GHz",6 GB,30 GB,null,null,null,null,null
Galactic Civilizations III₹569,Galactic Civilizations III,₹569,Stardock Entertainment,Strategy,null,Stardock Entertainment,01/21/21,Initial Release05/14/15,64-bit Windows 10 / 8.x / 7,2.3 GHz Intel Core i5 Processor or Equivalent,6 GB,15 GB,null,null,89%,83,Strong
Cities: Skylines₹729,Cities: Skylines,₹729,Colossal Order,SimulationCity Builder,Single Player,Paradox Interactive,12/17/20,WindowsWindows,Microsoft Windows 7/8 (64-bit),"Intel Core i5-3470, 3.20GHz or AMD FX-6300, 3.5Ghz",6 GB,4 GB,null,null,83%,83,Strong
The Fabled Woods₹349,The Fabled Woods,₹349,CyberPunch Studios,ActionFirst PersonNarration,Single Player,Headup,03/25/21,WindowsWindows,Windows 10,"Intel Core i5-4690 3.5 GHz, AMD Ryzen 3 1300X 3.5 GHz",6 GB,null,,,null,null,null
Genesis Noir₹349,Genesis Noir,₹349,Feral Cat Den,AdventureIndie,Single Player,Fellow Traveller,03/26/21,WindowsWindowsMac OSMac OS,Windows 10,Anything AMD or Intel from the past 5 years,6 GB,8 GB,,,null,null,null
Sakuna: Of Rice and Ruin₹699,Sakuna: Of Rice and Ruin,₹699,Edelweiss,ActionSimulationer,Single Player,XSEED Games,06/23/21,Initial Release11/10/20,"Windows 8.1/10, 64-bit",Intel Core i5-7500,6 GB,7 GB,,,81%,80,Strong
Siege Survival - Gloria Victis₹569,Siege Survival - Gloria Victis,₹569,Black Eye Games,SimulationSurvival,null,Ravenscourt,05/18/21,WindowsWindows,Windows 7 Sp. 64-bit,"Intel Core i5 or AMD Athlon II X4 with at least 3,2 GHz",6 GB,10 GB,,,null,null,null
WarfaceFree,Warface,Free,Allods Team,Shooter,Multiplayer,MY.GAMES,06/29/21,Initial Release10/21/13,Windows 10,Core i5 3470 / AMD Athlon 240GE,6 GB,30 GB,,,null,null,null
Hellpoint₹829,Hellpoint,₹829,Cradle Games,ActionRPG,Co-opMultiplayerSingle Player,tinyBuild,07/30/20,WindowsWindowsMac OSMac OS,Windows 10,"4 cores, 3+ Ghz",6 GB,6GB,,,null,null,null
World of WarshipsFree,World of Warships,Free,Wargaming,Action,MultiplayerCompetitive,Wargaming,03/18/21,Initial Release11/15/17,Windows 10 / 11,"Intel® Core™ i5-2500 (3.3GHz), AMD FX™ II 6350 (3.9GHz)",6 GB,65 GB,null,null,78%,79,Strong
SMITEFree,SMITE,Free,Titan Forge Games,null,MultiplayerCompetitiveSingle Player,Hi-Rez Studios,04/28/20,WindowsWindows,Windows 8/10 64-bit (latest Service Pack),"Intel Core i5 or AMD Phenom II X3, 2.8 GHz",6 GB,30 GB,null,null,82%,81,Strong
Lost Words: Beyond the Page₹459,Lost Words: Beyond the Page,₹459,"Sketchbook Games, Fourth State",AdventureerIndie,Single Player,Modus Games,04/06/21,WindowsWindows,Windows 10 64 Bit,Intel i7 - 3.4Ghz,6 GB RAM,3 GB available space,,,70%,78,Strong
